行标签,求和项:area_m2,
元古界楼子坝组,102632429.1,102.6324291
燕山中期二长花岗岩,97185286.83,97.18528683
燕山中期正长花岗岩,64390350.43,64.39035043
燕山晚期花岗斑岩,23052837.57,23.05283757
燕山早期正长花岗岩,20797899.12,20.79789912
石炭系林地组,20629268.98,20.62926898
二叠系童子岩组,18946477.32,18.94647732
加里东期二长花岗岩,16603935.58,16.60393558
侏罗系下村组,16019148.73,16.01914873
泥盆系桃子坑组,11996896.23,11.99689623
白垩系沙县组,9827875.676,9.827875676
侏罗系藩坑组,8753179.219,8.753179219
泥盆系天瓦岽组,8650102.907,8.650102907
二叠系翠屏山组,7608336.67,7.60833667
第四系全新统,7516915.525,7.516915525
二叠系文笔山组,7197336.317,7.197336317
二叠系栖霞组,6016200.372,6.016200372
燕山晚期晶洞碱长花岗岩,5980459.723,5.980459723
华力西-印支期正长花岗岩,4211552.411,4.211552411
三叠系文宾山组,2947471.915,2.947471915
元古界桃溪岩组,2000000,2
石炭系老虎洞组,873758.8251,0.873758825
燕山早期二长花岗岩,476833.0575,0.476833057
白垩系寨下组上段,440747.8901,0.44074789
燕山中期石英二长岩,399252.1682,0.399252168
燕山晚期二长花岗岩,22772.2976,0.022772298
